M-D,M,D,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-31,10,31,0.0,0.005100002754000001,0.007600004103999999,0.010200005508000001,0.022900012366000002,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.00250000135,0.025400013716,0.005100002754000001,0.00250000135,0.005100002754000001,0.010200005508000001,0.007600004103999999,0.0,0.0,0.00250000135,0.012700006858,0.0,0.0,0.0,0.043200023328,0.0,0.00250000135,0.010200005508000001,0.027900015065999997,0.005100002754000001,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.00250000135,0.045700024677999995,0.025400013716,0.0,0.005100002754000001,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.007067395120739129,0.00250000135,0.010200005508000001,0.024150013041,0.045700024677999995,2023-10-31
11-01,11,1,0.0,0.005100002754000001,0.007600004103999999,0.010200005508000001,0.022900012366000002,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.00250000135,0.0,0.025400013716,0.00250000135,0.007600004103999999,0.005100002754000001,0.017800009611999998,0.005100002754000001,0.0,0.00250000135,0.00250000135,0.017800009611999998,0.0,0.0,0.0,0.038100020574,0.0,0.005100002754000001,0.010200005508000001,0.027900015065999997,0.007600004103999999,0.0,0.017800009611999998,0.0,0.0,0.0,0.005100002754000001,0.00250000135,0.050800027432,0.025400013716,0.0,0.00250000135,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.007508699706869564,0.00250000135,0.009550005157,0.024150013041,0.050800027432,2023-11-01
11-02,11,2,0.0,0.007600004103999999,0.007600004103999999,0.007600004103999999,0.020300010961999997,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.005100002754000001,0.007600004103999999,0.025400013716,0.0,0.010200005508000001,0.005100002754000001,0.017800009611999998,0.00250000135,0.0,0.007600004103999999,0.00250000135,0.025400013716,0.0,0.0,0.0,0.040600021923999995,0.0,0.005100002754000001,0.010200005508000001,0.022900012366000002,0.010200005508000001,0.0,0.020300010961999997,0.0,0.0,0.0,0.0,0.010200005508000001,0.050800027432,0.025400013716,0.005100002754000001,0.00250000135,0.012700006858,0.0,0.0,0.0,0.0,0.0,0.00811739568773913,0.005100002754000001,0.010200005508000001,0.024150013041,0.050800027432,2023-11-02
11-03,11,3,0.0,0.007600004103999999,0.007600004103999999,0.007600004103999999,0.017800009611999998,0.0,0.0,0.007600004103999999,0.00250000135,0.0,0.0,0.005100002754000001,0.020300010961999997,0.025400013716,0.0,0.012700006858,0.005100002754000001,0.015200008207999998,0.007600004103999999,0.0,0.007600004103999999,0.00250000135,0.022900012366000002,0.0,0.0,0.0,0.035600019223999996,0.0,0.007600004103999999,0.010200005508000001,0.020300010961999997,0.010200005508000001,0.0,0.022900012366000002,0.00250000135,0.0,0.0,0.0,0.012700006858,0.050800027432,0.025400013716,0.017800009611999998,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.0,0.00883261346526087,0.006350003429,0.0145750078705,0.022900012366000002,0.050800027432,2023-11-03
11-04,11,4,0.0,0.007600004103999999,0.012700006858,0.012700006858,0.017800009611999998,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.012700006858,0.022900012366000002,0.025400013716,0.0,0.015200008207999998,0.010200005508000001,0.012700006858,0.007600004103999999,0.0,0.005100002754000001,0.00250000135,0.022900012366000002,0.0,0.0,0.00250000135,0.035600019223999996,0.0,0.007600004103999999,0.010200005508000001,0.017800009611999998,0.010200005508000001,0.0,0.022900012366000002,0.012700006858,0.0,0.0,0.0,0.027900015065999997,0.050800027432,0.022900012366000002,0.015200008207999998,0.00250000135,0.012700006858,0.007600004103999999,0.0,0.0,0.0,0.0,0.009941309716130435,0.007600004103999999,0.0145750078705,0.022900012366000002,0.050800027432,2023-11-04
11-05,11,5,0.0,0.0,0.025400013716,0.012700006858,0.017800009611999998,0.0,0.0,0.0,0.012700006858,0.0,0.007600004103999999,0.020300010961999997,0.022900012366000002,0.025400013716,0.0,0.017800009611999998,0.00250000135,0.038100020574,0.005100002754000001,0.0,0.007600004103999999,0.00250000135,0.025400013716,0.0,0.0,0.007600004103999999,0.040600021923999995,0.0,0.007600004103999999,0.010200005508000001,0.015200008207999998,0.012700006858,0.0,0.025400013716,0.012700006858,0.010200005508000001,0.0,0.012700006858,0.035600019223999996,0.050800027432,0.020300010961999997,0.015200008207999998,0.00250000135,0.007600004103999999,0.007600004103999999,0.0,0.0,0.0,0.0,0.011702180232217389,0.007600004103999999,0.017800009611999998,0.025400013716,0.050800027432,2023-11-05
11-06,11,6,0.0,0.0,0.025400013716,0.012700006858,0.017800009611999998,0.0,0.0,0.0,0.012700006858,0.0,0.012700006858,0.020300010961999997,0.025400013716,0.025400013716,0.0,0.022900012366000002,0.007600004103999999,0.038100020574,0.010200005508000001,0.0,0.010200005508000001,0.00250000135,0.025400013716,0.0,0.0,0.010200005508000001,0.043200023328,0.0,0.012700006858,0.010200005508000001,0.012700006858,0.010200005508000001,0.0,0.025400013716,0.012700006858,0.012700006858,0.0,0.015200008207999998,0.040600021923999995,0.050800027432,0.017800009611999998,0.012700006858,0.010200005508000001,0.00250000135,0.010200005508000001,0.0,0.0,0.0,0.0,0.012593485061347826,0.010200005508000001,0.017800009611999998,0.025400013716,0.050800027432,2023-11-06
11-07,11,7,0.0,0.0,0.025400013716,0.012700006858,0.017800009611999998,0.0,0.017800009611999998,0.0,0.012700006858,0.0,0.012700006858,0.027900015065999997,0.025400013716,0.025400013716,0.0,0.022900012366000002,0.017800009611999998,0.027900015065999997,0.010200005508000001,0.0,0.010200005508000001,0.00250000135,0.025400013716,0.0,0.0,0.012700006858,0.043200023328,0.0,0.012700006858,0.010200005508000001,0.010200005508000001,0.010200005508000001,0.0,0.025400013716,0.010200005508000001,0.012700006858,0.0,0.015200008207999998,0.035600019223999996,0.050800027432,0.015200008207999998,0.012700006858,0.012700006858,0.00250000135,0.010200005508000001,0.007600004103999999,0.0,0.0,0.0006250003375,0.01314565927256522,0.012700006858,0.017800009611999998,0.026650014391,0.050800027432,2023-11-07
11-08,11,8,0.0,0.012700006858,0.025400013716,0.012700006858,0.017800009611999998,0.005100002754000001,0.020300010961999997,0.0,0.012700006858,0.0,0.017800009611999998,0.03050001647,0.025400013716,0.025400013716,0.0,0.022900012366000002,0.025400013716,0.025400013716,0.010200005508000001,0.0,0.005100002754000001,0.00250000135,0.027900015065999997,0.007600004103999999,0.0,0.005100002754000001,0.040600021923999995,0.0,0.017800009611999998,0.010200005508000001,0.007600004103999999,0.012700006858,0.0,0.027900015065999997,0.007600004103999999,0.012700006858,0.0,0.035600019223999996,0.038100020574,0.050800027432,0.012700006858,0.005100002754000001,0.012700006858,0.00250000135,0.015200008207999998,0.007600004103999999,0.0,0.0,0.005100002754000001,0.014245659866565218,0.012700006858,0.0247750133785,0.029200015768,0.050800027432,2023-11-08
11-09,11,9,0.0,0.022900012366000002,0.025400013716,0.012700006858,0.017800009611999998,0.015200008207999998,0.022900012366000002,0.0,0.015200008207999998,0.0,0.020300010961999997,0.03050001647,0.03300001782,0.03050001647,0.010200005508000001,0.022900012366000002,0.027900015065999997,0.020300010961999997,0.015200008207999998,0.0,0.010200005508000001,0.0,0.038100020574,0.007600004103999999,0.0,0.005100002754000001,0.035600019223999996,0.0,0.020300010961999997,0.010200005508000001,0.005100002754000001,0.012700006858,0.0,0.027900015065999997,0.0,0.012700006858,0.0,0.035600019223999996,0.038100020574,0.050800027432,0.015200008207999998,0.00250000135,0.012700006858,0.0,0.017800009611999998,0.007600004103999999,0.0,0.0,0.003150001701,0.015406530058652173,0.013950007532999999,0.022900012366000002,0.034300018522,0.050800027432,2023-11-09
